Barcodename	Run	Country	Site_old	Site	Species	Processingdays	Fraction	Sampletype	Replicate	Experiment	Soiltype	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	included	latitude	longitude	bac_obs	fun_obs
swe2.RS.2S.XXX.Y1	B5-68	7	Sweden	Swe2	SW2	At	2	RS	Single	2	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	406	167
swe2.RS.3P.XXX.Y1	B5-73	7	Sweden	Swe2	SW2	At	2	RS	Pooled	3	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	372	231
swe2.RS.3P.XXX.Y2	B5-76	9	Sweden	Swe2	SW2	At	3	RS	Pooled	3	Second	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	0	175
swe2.RS.3P.XXX.Y3	B5-88	13	Sweden	Swe2	SW2	At	3	RS	Pooled	3	Third	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	322	0
swe2.RS.3S.XXX.Y1	B5-69	7	Sweden	Swe2	SW2	At	2	RS	Single	3	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	390	194
swe2.RS.N1.XXX.Y1	B5-75	7	Sweden	Swe2	SW2	Neighbor	2	RS	Neighbor	1	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	0	239
swe2.RS.N1.XXX.Y2	B5-77	9	Sweden	Swe2	SW2	Neighbor	3	RS	Neighbor	1	Second	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	429	146
swe2.RS.N2.XXX.Y1	B5-76	7	Sweden	Swe2	SW2	Neighbor	2	RS	Neighbor	2	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	394	240
swe2.RS.N3.XXX.Y1	B5-77	7	Sweden	Swe2	SW2	Neighbor	2	RS	Neighbor	3	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	401	243
swe2.Soil.1P.XXX.Y1	B5-49	7	Sweden	Swe2	SW2	At	2	Soil	Pooled	1	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	340	145
swe2.Soil.1P.XXX.Y2	B5-27	9	Sweden	Swe2	SW2	At	3	Soil	Pooled	1	Second	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	0	225
swe2.Soil.1P.XXX.Y3	B5-77	13	Sweden	Swe2	SW2	At	3	Soil	Pooled	1	Third	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	341	149
swe2.Soil.1S.XXX.Y1	B5-45	7	Sweden	Swe2	SW2	At	2	Soil	Single	1	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	312	197
swe2.Soil.2P.XXX.Y1	B5-50	7	Sweden	Swe2	SW2	At	2	Soil	Pooled	2	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	361	209
swe2.Soil.2P.XXX.Y2	B5-40	9	Sweden	Swe2	SW2	At	3	Soil	Pooled	2	Second	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	284	194
swe2.Soil.2P.XXX.Y3	B5-78	13	Sweden	Swe2	SW2	At	3	Soil	Pooled	2	Third	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	321	173
swe2.Soil.2S.XXX.Y1	B5-46	7	Sweden	Swe2	SW2	At	2	Soil	Single	2	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	391	148
swe2.Soil.3P.XXX.Y1	B5-51	7	Sweden	Swe2	SW2	At	2	Soil	Pooled	3	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	326	240
swe2.Soil.3P.XXX.Y2	B5-41	9	Sweden	Swe2	SW2	At	3	Soil	Pooled	3	Second	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	0	170
swe2.Soil.3P.XXX.Y3	B5-79	13	Sweden	Swe2	SW2	At	3	Soil	Pooled	3	Third	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	294	144
swe2.Soil.3S.XXX.Y1	B5-47	7	Sweden	Swe2	SW2	At	2	Soil	Single	3	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	376	236
swe2.Soil.N1.XXX.Y1	B5-53	7	Sweden	Swe2	SW2	Neighbor	2	Soil	Neighbor	1	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	387	231
swe2.Soil.N1.XXX.Y2	B5-42	9	Sweden	Swe2	SW2	Neighbor	3	Soil	Neighbor	1	Second	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	0	146
swe2.Soil.N2.XXX.Y1	B5-54	7	Sweden	Swe2	SW2	Neighbor	2	Soil	Neighbor	2	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	412	138
swe2.Soil.N3.XXX.Y1	B5-55	7	Sweden	Swe2	SW2	Neighbor	2	Soil	Neighbor	3	First	Loamysand	5.1	67.6	2.8	18.2	88.8	25	19.8	113.2	2296	283.6	0	104	7	1647	5.07	83.5	yes	63.03991	18.19189	380	224
swe3.Root.1P.XXX.Y1	B5-38	8	Sweden	Swe3	SW3	At	4	Root	Pooled	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	120	158
swe3.Root.1P.XXX.Y2	B5-36	12	Sweden	Swe3	SW3	At	2	Root	Pooled	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	289	47
swe3.Root.1P.XXX.Y3	B5-88	14	Sweden	Swe3	SW3	At	3	Root	Pooled	1	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	75	0
swe3.Root.1S.XXX.Y1	B5-34	8	Sweden	Swe3	SW3	At	4	Root	Single	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	68	200
swe3.Root.2P.XXX.Y1	B5-39	8	Sweden	Swe3	SW3	At	4	Root	Pooled	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	125	194
swe3.Root.2P.XXX.Y2	B5-37	12	Sweden	Swe3	SW3	At	2	Root	Pooled	2	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	284	43
swe3.Root.2P.XXX.Y3	B5-89	14	Sweden	Swe3	SW3	At	3	Root	Pooled	2	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	91	0
swe3.Root.2S.XXX.Y1	B5-35	8	Sweden	Swe3	SW3	At	4	Root	Single	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	207
swe3.Root.3P.XXX.Y1	B5-40	8	Sweden	Swe3	SW3	At	4	Root	Pooled	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	138	25
swe3.Root.3P.XXX.Y2	B5-38	12	Sweden	Swe3	SW3	At	2	Root	Pooled	3	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	254	41
swe3.Root.3P.XXX.Y3	B5-90	14	Sweden	Swe3	SW3	At	3	Root	Pooled	3	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	113	43
swe3.Root.3S.XXX.Y1	B5-36	8	Sweden	Swe3	SW3	At	4	Root	Single	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	50	125
swe3.Root.4P.XXX.Y1	B5-41	8	Sweden	Swe3	SW3	At	4	Root	Pooled	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	68	54
swe3.Root.4P.XXX.Y2	B5-39	12	Sweden	Swe3	SW3	At	2	Root	Pooled	4	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	179	40
swe3.Root.4S.XXX.Y1	B5-37	8	Sweden	Swe3	SW3	At	4	Root	Single	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	80	93
swe3.Root.N1.XXX.Y1	B5-42	8	Sweden	Swe3	SW3	Neighbor	4	Root	Neighbor	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	150	83
swe3.Root.N1.XXX.Y2	B5-40	12	Sweden	Swe3	SW3	Neighbor	2	Root	Neighbor	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	118	45
swe3.Root.N2.XXX.Y1	B5-43	8	Sweden	Swe3	SW3	Neighbor	4	Root	Neighbor	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	158	44
swe3.Root.N3.XXX.Y1	B5-44	8	Sweden	Swe3	SW3	Neighbor	4	Root	Neighbor	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	98	0
swe3.RP.1P.XXX.Y1	B5-16	8	Sweden	Swe3	SW3	At	4	RP	Pooled	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	263	154
swe3.RP.1P.XXX.Y2	B5-26	12	Sweden	Swe3	SW3	At	2	RP	Pooled	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	314	115
swe3.RP.1P.XXX.Y3	B5-85	14	Sweden	Swe3	SW3	At	3	RP	Pooled	1	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	0
swe3.RP.1S.XXX.Y1	B5-12	8	Sweden	Swe3	SW3	At	4	RP	Single	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	115
swe3.RP.2P.XXX.Y1	B5-17	8	Sweden	Swe3	SW3	At	4	RP	Pooled	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	178
swe3.RP.2P.XXX.Y2	B5-27	12	Sweden	Swe3	SW3	At	2	RP	Pooled	2	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	301	131
swe3.RP.2P.XXX.Y3	B5-86	14	Sweden	Swe3	SW3	At	3	RP	Pooled	2	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	0
swe3.RP.2S.XXX.Y1	B5-13	8	Sweden	Swe3	SW3	At	4	RP	Single	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	140
swe3.RP.3P.XXX.Y1	B5-18	8	Sweden	Swe3	SW3	At	4	RP	Pooled	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	124
swe3.RP.3P.XXX.Y2	B5-28	12	Sweden	Swe3	SW3	At	2	RP	Pooled	3	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	307	105
swe3.RP.3P.XXX.Y3	B5-87	14	Sweden	Swe3	SW3	At	3	RP	Pooled	3	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	0
swe3.RP.3S.XXX.Y1	B5-14	8	Sweden	Swe3	SW3	At	4	RP	Single	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	157
swe3.RP.4P.XXX.Y1	B5-19	8	Sweden	Swe3	SW3	At	4	RP	Pooled	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	216	102
swe3.RP.4P.XXX.Y2	B5-29	12	Sweden	Swe3	SW3	At	2	RP	Pooled	4	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	0
swe3.RP.4S.XXX.Y1	B5-15	8	Sweden	Swe3	SW3	At	4	RP	Single	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	0	0
swe3.RP.N1.XXX.Y1	B5-20	8	Sweden	Swe3	SW3	Neighbor	4	RP	Neighbor	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	370	173
swe3.RP.N1.XXX.Y2	B5-30	12	Sweden	Swe3	SW3	Neighbor	2	RP	Neighbor	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	221	99
swe3.RP.N2.XXX.Y1	B5-21	8	Sweden	Swe3	SW3	Neighbor	4	RP	Neighbor	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	340	185
swe3.RP.N3.XXX.Y1	B5-22	8	Sweden	Swe3	SW3	Neighbor	4	RP	Neighbor	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	319	214
swe3.RS.1P.XXX.Y1	B5-27	8	Sweden	Swe3	SW3	At	4	RS	Pooled	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	453	230
swe3.RS.1P.XXX.Y2	B5-31	12	Sweden	Swe3	SW3	At	2	RS	Pooled	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	451	146
swe3.RS.1P.XXX.Y3	B5-89	13	Sweden	Swe3	SW3	At	3	RS	Pooled	1	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	357	0
swe3.RS.1S.XXX.Y1	B5-23	8	Sweden	Swe3	SW3	At	4	RS	Single	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	408	161
swe3.RS.2P.XXX.Y1	B5-28	8	Sweden	Swe3	SW3	At	4	RS	Pooled	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	431	225
swe3.RS.2P.XXX.Y2	B5-32	12	Sweden	Swe3	SW3	At	2	RS	Pooled	2	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	438	109
swe3.RS.2P.XXX.Y3	B5-90	13	Sweden	Swe3	SW3	At	3	RS	Pooled	2	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	331	128
swe3.RS.2S.XXX.Y1	B5-24	8	Sweden	Swe3	SW3	At	4	RS	Single	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	310	216
swe3.RS.3P.XXX.Y1	B5-29	8	Sweden	Swe3	SW3	At	4	RS	Pooled	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	441	202
swe3.RS.3P.XXX.Y2	B5-33	12	Sweden	Swe3	SW3	At	2	RS	Pooled	3	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	430	112
swe3.RS.3P.XXX.Y3	B5-91	13	Sweden	Swe3	SW3	At	3	RS	Pooled	3	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	404	122
swe3.RS.3S.XXX.Y1	B5-25	8	Sweden	Swe3	SW3	At	4	RS	Single	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	422	204
swe3.RS.4P.XXX.Y1	B5-30	8	Sweden	Swe3	SW3	At	4	RS	Pooled	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	437	184
swe3.RS.4P.XXX.Y2	B5-34	12	Sweden	Swe3	SW3	At	2	RS	Pooled	4	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	456	88
swe3.RS.4S.XXX.Y1	B5-26	8	Sweden	Swe3	SW3	At	4	RS	Single	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	450	199
swe3.RS.N1.XXX.Y1	B5-31	8	Sweden	Swe3	SW3	Neighbor	4	RS	Neighbor	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	380	216
swe3.RS.N1.XXX.Y2	B5-35	12	Sweden	Swe3	SW3	Neighbor	2	RS	Neighbor	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	274	84
swe3.RS.N2.XXX.Y1	B5-32	8	Sweden	Swe3	SW3	Neighbor	4	RS	Neighbor	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	410	200
swe3.RS.N3.XXX.Y1	B5-33	8	Sweden	Swe3	SW3	Neighbor	4	RS	Neighbor	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	456	171
swe3.Soil.1P.XXX.Y1	B5-5	8	Sweden	Swe3	SW3	At	4	Soil	Pooled	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	415	201
swe3.Soil.1P.XXX.Y2	B5-21	12	Sweden	Swe3	SW3	At	2	Soil	Pooled	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	432	172
swe3.Soil.1P.XXX.Y3	B5-80	13	Sweden	Swe3	SW3	At	3	Soil	Pooled	1	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	383	193
swe3.Soil.1S.XXX.Y1	B5-1	8	Sweden	Swe3	SW3	At	4	Soil	Single	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	409	207
swe3.Soil.2P.XXX.Y1	B5-6	8	Sweden	Swe3	SW3	At	4	Soil	Pooled	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	450	214
swe3.Soil.2P.XXX.Y2	B5-22	12	Sweden	Swe3	SW3	At	2	Soil	Pooled	2	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	397	163
swe3.Soil.2P.XXX.Y3	B5-81	13	Sweden	Swe3	SW3	At	3	Soil	Pooled	2	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	393	174
swe3.Soil.2S.XXX.Y1	B5-2	8	Sweden	Swe3	SW3	At	4	Soil	Single	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	327	201
swe3.Soil.3P.XXX.Y1	B5-7	8	Sweden	Swe3	SW3	At	4	Soil	Pooled	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	435	172
swe3.Soil.3P.XXX.Y2	B5-23	12	Sweden	Swe3	SW3	At	2	Soil	Pooled	3	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	415	135
swe3.Soil.3P.XXX.Y3	B5-82	13	Sweden	Swe3	SW3	At	3	Soil	Pooled	3	Third	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	423	176
swe3.Soil.3S.XXX.Y1	B5-3	8	Sweden	Swe3	SW3	At	4	Soil	Single	3	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	355	128
swe3.Soil.4P.XXX.Y1	B5-8	8	Sweden	Swe3	SW3	At	4	Soil	Pooled	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	413	172
swe3.Soil.4P.XXX.Y2	B5-24	12	Sweden	Swe3	SW3	At	2	Soil	Pooled	4	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	414	108
swe3.Soil.4S.XXX.Y1	B5-4	8	Sweden	Swe3	SW3	At	4	Soil	Single	4	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	362	172
swe3.Soil.N1.XXX.Y1	B5-9	8	Sweden	Swe3	SW3	Neighbor	4	Soil	Neighbor	1	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	411	188
swe3.Soil.N1.XXX.Y2	B5-25	12	Sweden	Swe3	SW3	Neighbor	2	Soil	Neighbor	1	Second	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	307	148
swe3.Soil.N2.XXX.Y1	B5-10	8	Sweden	Swe3	SW3	Neighbor	4	Soil	Neighbor	2	First	Siltysand	5.3	58.3	3.6	18.8	87	29.3	21.8	63.7	3327	374.2	0.1	49	2.1	1294	5.07	83.5	yes	63.00974	18.19028	400	169
