Barcodename	Run	Country	Site_old	Site	Species	Processingdays	Fraction	Sampletype	Replicate	Experiment	Soiltype	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	included	latitude	longitude	bac_obs	fun_obs
ham.Soil.2P.XXX.Y1	B5-50	6	Germany	Ham	GE6	At	3	Soil	Pooled	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	482	196
ham.Soil.2S.XXX.Y1	B5-46	6	Germany	Ham	GE6	At	3	Soil	Single	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	139
ham.Soil.3P.XXX.Y1	B5-51	6	Germany	Ham	GE6	At	3	Soil	Pooled	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	451	124
ham.Soil.3S.XXX.Y1	B5-47	6	Germany	Ham	GE6	At	3	Soil	Single	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	124
ham.Soil.4P.XXX.Y1	B5-52	6	Germany	Ham	GE6	At	3	Soil	Pooled	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	295	61
ham.Soil.4S.XXX.Y1	B5-48	6	Germany	Ham	GE6	At	3	Soil	Single	4	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	0	52
ham.Soil.N1.XXX.Y1	B5-53	6	Germany	Ham	GE6	Neighbor	3	Soil	Neighbor	1	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	431	47
ham.Soil.N2.XXX.Y1	B5-54	6	Germany	Ham	GE6	Neighbor	3	Soil	Neighbor	2	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	370	65
ham.Soil.N3.XXX.Y1	B5-55	6	Germany	Ham	GE6	Neighbor	3	Soil	Neighbor	3	First	Siltysand	7	3.7	3.1	3.8	34.6	2.5	45.1	60.9	2499	112	0.3	25	18.5	150	10.8	81.6	yes	53.34415	9.52255	328	111
pulh.Root.1P.XXX.Y1	B5-82	2	Germany	pulh	GE1	At	3	Root	Pooled	1	First	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	0	35
pulh.Root.1P.XXX.Y2	B5-56	12	Germany	pulh	GE1	At	0	Root	Pooled	1	Second	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	59	33
pulh.Root.1P.XXX.Y3	B5-61	14	Germany	pulh	GE1	At	0	Root	Pooled	1	Third	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	68	0
pulh.Root.1S.XXX.Y1	B5-78	2	Germany	pulh	GE1	At	3	Root	Single	1	First	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	0	41
pulh.Root.2P.XXX.Y1	B5-83	2	Germany	pulh	GE1	At	3	Root	Pooled	2	First	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	0	64
pulh.Root.2P.XXX.Y2	B5-57	12	Germany	pulh	GE1	At	0	Root	Pooled	2	Second	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	0	19
pulh.Root.2P.XXX.Y3	B5-62	14	Germany	pulh	GE1	At	0	Root	Pooled	2	Third	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	102	42
pulh.Root.2S.XXX.Y1	B5-79	2	Germany	pulh	GE1	At	3	Root	Single	2	First	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	0	74
pulh.Root.3P.XXX.Y1	B5-84	2	Germany	pulh	GE1	At	3	Root	Pooled	3	First	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	0	43
pulh.Root.3P.XXX.Y2	B5-58	12	Germany	pulh	GE1	At	0	Root	Pooled	3	Second	Sandyloam	7	22.4	9	40.8	40.4	5.5	68.7	194.5	1397	64.6	0.2	223	3.4	439	12.07	79.9	yes	50.98550	6.82615	93	20
