ItaRP	ItaRS	ItaRoot	ItaSoil	PulhRP	PulhRS	PulhRoot	PulhSoil	SDRP	SDRS	SDRoot	SDSoil	geyenRP	geyenRS	geyenSoil	hamRP	hamRS	hamRoot	hamSoil	spa1RP	spa1RS	spa1Root	spa1Soil	spa2RP	spa2RS	spa2Root	spa2Soil	spa3RP	spa3RS	spa3Root	spa3Soil	swe1RP	swe1RS	swe1Root	swe1Soil	swe2RP	swe2RS	swe2Root	swe2Soil	swe3RP	swe3RS	swe3Root	swe3Soil	swe4RP	swe4RS	swe4Root	swe4Soil	tou1RP	tou1RS	tou1Root	tou1Soil	tou2RP	tou2RS	tou2Root	tou2Soil	tub2RP	tub2RS	tub2Root	tub2Soil	tub3RP	tub3RS	tub3Root	tub3Soil	tub4RP	tub4RS	tub4Root	tub4Soil	
hamRP	0.87186906247845	0.8494261712469	0.86496483174855	0.864906280594	0.833204532691114	0.8259541346487	0.868984474136925	0.8213128714137	0.863664673252266	0.84950599492235	0.8400117356712	0.84545149833125	0.7969611308574	0.786105788413025	0.789398950118375	0.60104216437784	0.70616977391085	0.74139070319828	0.744971624433675	0.857546839268	0.85425525034125	0.847121152624538	0.867915307092653	0.844911506465171	0.8520987951562	0.80209505408664	0.853350060038325	0.881491424134933	0.85768741518876	0.87462947213585	0.86823082610792	0.870984513129381	0.872465342371643	0.845932985936586	0.882204792245253	0.8644507341012	0.88403353511366	0.834971195211436	0.882801448353917	0.85891755057358	0.868880946092142	0.822084278719277	0.88017288383452	0.8567667048266	0.888151593012733	0.8237664828442	0.87720510470936	0.836364091459061	0.845677231013075	0.800803414265964	0.84394958776015	0.8209550121884	0.836108203296783	0.7871362717535	0.834290868645333	0.8321507511202	0.819264093104162	0.816778942774954	0.834353148060638	0.8282084664083	0.833501292085963	0.855450204447386	0.847513102873625	0.849845444936733	0.832419289406027	0.874126620673727	0.841993151623788
hamRS	0.894620890052	0.797474672842063	0.890607452477312	0.822872558059312	0.848880648119964	0.787988123116875	0.909960973030953	0.802080258633219	0.842644184781271	0.763297480345766	0.848391644417437	0.773130232441984	0.834061030782	0.7810518755135	0.76859213762064	0.70616977391085	0.425695017958094	0.6836030937128	0.56195372972264	0.849300014053938	0.80047116823714	0.868351223940702	0.837351528787067	0.854392242064215	0.772883874107484	0.7533243865008	0.776587655212555	0.895681390208722	0.787700562166608	0.89093924676486	0.822181347046542	0.87822885756316	0.797333870049616	0.823353208038777	0.82095454126255	0.8693114982531	0.832241094169663	0.813119734893136	0.82578405789725	0.853302567649787	0.803141004428063	0.798222019794279	0.818159382676983	0.857875796749491	0.827541366208916	0.803196115813518	0.811407131588117	0.832049195810759	0.789210544836273	0.794433952672023	0.783446037124297	0.77156083682835	0.777660474363791	0.76088112043025	0.781531885342448	0.847086039316425	0.735056352981914	0.80267408501902	0.754817254687243	0.853617112009729	0.796276555278609	0.882133055281303	0.821672899089398	0.839603318082805	0.752547725137666	0.896928554869011	0.782766858889179
hamRoot	0.8621796063396	0.8047760230674	0.83655938613845	0.8234060000979	0.796837624723914	0.739033157132075	0.851546398780325	0.743978821389375	0.830367854710767	0.7888339609108	0.79828889070375	0.79070282090775	0.777631346942	0.74393760710305	0.728655943136075	0.74139070319828	0.6836030937128	0.4058238751184	0.71057586226475	0.83391012517024	0.816810955697537	0.777713437778431	0.832838900855373	0.797868545133157	0.739084521672675	0.59304670999838	0.737172170984237	0.865043070996356	0.786444840631587	0.834274105933	0.803800620494107	0.860075610922745	0.797713428323214	0.7245094684176	0.81871379853804	0.83983208665552	0.83301242760772	0.718966448934491	0.8148803207501	0.81342527553182	0.785201574277657	0.682598694185307	0.8114646201898	0.824143113145815	0.830680334017614	0.681204448292057	0.792849406898466	0.777719156118754	0.754230551715262	0.665549161699818	0.738072159648687	0.68377962215004	0.736595949266017	0.580381404326333	0.720107354996384	0.76162742793666	0.663543341871388	0.709785823996954	0.684162194234575	0.780083737130633	0.743379676010775	0.826115883897757	0.769293242900038	0.806964676604378	0.762687118571693	0.857497524864328	0.781687418771812
hamSoil	0.898215421998	0.813405212118156	0.886570224111375	0.819394280571657	0.855250082203	0.793134049205109	0.911433166266469	0.790371560542313	0.852691403462666	0.773055075970687	0.858069733374	0.773857216960812	0.838773044171625	0.773573593964407	0.749231578242984	0.744971624433675	0.56195372972264	0.71057586226475	0.469831265590656	0.857520049107675	0.805281718766077	0.871114794805077	0.817146424155959	0.86592857367825	0.78330354609386	0.766174671466537	0.771849114537813	0.905131013358806	0.80500082271465	0.900365727123	0.817407240293775	0.87056283491458	0.788281558433411	0.82662997561	0.797597925712008	0.85608236752735	0.81971178387035	0.813137340881671	0.805199204088937	0.84586935955555	0.78686663020983	0.795568915124577	0.792737539680717	0.848813057137178	0.813134763538741	0.805641666380286	0.794453134912942	0.84594321350624	0.812676403050703	0.801030969775921	0.797056818976875	0.782917659859725	0.786369645011656	0.772649635748875	0.779361841714771	0.858488818975538	0.76552984512111	0.805301535186308	0.771031576689094	0.854223919193271	0.795329390124367	0.878804536140482	0.805998442961336	0.847657272106389	0.766292897442542	0.894922398566466	0.769621376889586
spa1RP	0.854284255257875	0.850110296016875	0.84988676992265	0.8648623313224	0.875308939269172	0.88486219110775	0.895759202026537	0.892748009839787	0.881933605826833	0.880257617573063	0.871310588801975	0.88456650972015	0.8475232942088	0.8592890046095	0.863577123300887	0.857546839268	0.849300014053938	0.83391012517024	0.857520049107675	0.6200709012297	0.716208263137881	0.826019581467638	0.765601499608053	0.8452650099897	0.849085915176856	0.8572904845493	0.849314290156626	0.866202198347378	0.847418431964993	0.878306605741375	0.861627697341113	0.871158045259755	0.87030518855085	0.870120554045064	0.88614976122142	0.87070597784736	0.88344102277729	0.864188343228381	0.889847334665525	0.87626298843996	0.87768637261575	0.86213156105483	0.88649124712418	0.876959268151865	0.881244018512053	0.867453252209843	0.88044250427472	0.859836067122592	0.885172432121412	0.8551254671049	0.884886092954425	0.85532779353798	0.880061485499224	0.863788862548516	0.884298988990575	0.86855461208869	0.872007198277769	0.8544124905376	0.888388492350731	0.873553674525133	0.882379897125581	0.879605584430393	0.897835461051531	0.869103465536933	0.867931109158887	0.889487637520927	0.879151866252644
spa1RS	0.890813214721781	0.808837584072531	0.87878936186861	0.823300112824812	0.888706981907634	0.863162362557024	0.924704860584422	0.869895806366875	0.880650067550385	0.837836781645281	0.886010419996109	0.8440250566795	0.868816149293188	0.846192113575383	0.840947715296594	0.85425525034125	0.80047116823714	0.816810955697537	0.805281718766078	0.716208263137881	0.588949202988304	0.858396595008687	0.6785148639629	0.869968638119027	0.791847269952207	0.835929041644093	0.783367944775949	0.891688324070049	0.792482331193679	0.898471326468867	0.814916064341229	0.882498913148154	0.827143642127987	0.868012885825442	0.843580750567105	0.884769279838237	0.849293112225431	0.864766080655262	0.851206775125474	0.877940522353919	0.831496700820286	0.850381236855087	0.839078761195142	0.874007345743643	0.833047594138155	0.857539951387031	0.831941644843946	0.86752339188762	0.855678981243031	0.847256681389335	0.851599331757148	0.854151386471362	0.850969456278657	0.84463103673324	0.854208627037542	0.885914281585913	0.8358073610488	0.847376162159581	0.850211791027981	0.889064694168739	0.854797402014223	0.889592880382433	0.871745586666423	0.872636947234153	0.820739579698988	0.901432024634028	0.83528325403941
spa1Root	0.876976100461481	0.889834674421173	0.810947580207385	0.900413189502192	0.867332119302725	0.882932429543413	0.862905459363798	0.882313760891586	0.896886525437167	0.904848771363913	0.844413141130423	0.901149681268836	0.846457419405615	0.847232172765135	0.844439231380365	0.847121152624538	0.868351223940702	0.77771343777843	0.871114794805077	0.826019581467638	0.858396595008687	0.714747774688071	0.868551624627364	0.845223168285659	0.875925922751086	0.795277410537238	0.872198148955822	0.88123850767753	0.891348061020939	0.845479066016519	0.890415285991287	0.872460563747203	0.894538694484022	0.823088091466577	0.905406004319102	0.872089103838384	0.904229987680546	0.836403781847902	0.902333762548276	0.869998110929308	0.890364197972176	0.810108786459958	0.901015176183169	0.87715947001922	0.903971246602887	0.814294987718962	0.896337253279462	0.856761662929681	0.88170653536064	0.805008014856888	0.879202835840264	0.848544873171123	0.871770427006326	0.7861499749075	0.865158870741807	0.850372156333477	0.864922311235188	0.8371253141659	0.878229491384794	0.856593362392167	0.885124351661687	0.842220099986374	0.891744207209496	0.884162100063274	0.892288022088082	0.868243416038329	0.89842284330786
spa1Soil	0.899078363020566	0.828033515587034	0.878436747978583	0.823562037905633	0.897792523753867	0.874890931150983	0.926838406800167	0.874084810072567	0.899988392586878	0.86816743869205	0.899710240130409	0.86667463477495	0.8849844982106	0.855992627142916	0.84413925403355	0.867915307092653	0.837351528787067	0.832838900855373	0.817146424155959	0.765601499608053	0.6785148639629	0.868551624627364	0.631922858733076	0.883092207463971	0.810435474884642	0.85147486197592	0.788646117961517	0.902914783141096	0.819881428362427	0.9027200488578	0.816566414863574	0.890974287017437	0.849731706646886	0.882873142375685	0.853282262936453	0.8957410046816	0.86765780507122	0.875976705179405	0.862580127576784	0.885256882330234	0.847356858462585	0.859688969508082	0.849778802671089	0.882315466090495	0.851375693042672	0.86813929149389	0.846755556031595	0.879654869969734	0.873428958766821	0.853529739919406	0.864510225992808	0.867778405972613	0.861404286786256	0.855585357696212	0.859059760235628	0.893866197908293	0.858929020206633	0.858929319155529	0.863335991935171	0.896089628682477	0.871679818617416	0.894872335210767	0.876489962212884	0.884755365705733	0.845975550210519	0.901783524905115	0.838731335385275
spa2RP	0.86155345689575	0.865907702777053	0.843211530087911	0.885564686286107	0.845473158635235	0.852694901056268	0.87956151261275	0.865586680654545	0.869168245397536	0.878900813191991	0.858287041093947	0.88046809389033	0.811727539794428	0.823090544709	0.831646433410625	0.844911506465171	0.854392242064215	0.797868545133157	0.86592857367825	0.8452650099897	0.869968638119028	0.845223168285659	0.883092207463972	0.712925907845837	0.800651158553964	0.809674374062865	0.811934442535112	0.852726424055516	0.851672737795647	0.85895998574134	0.867351443985266	0.885311504336948	0.895299508341536	0.865073305935174	0.906477966869428	0.8874542005275	0.906323272593222	0.860205965570104	0.904468081741875	0.877802757364607	0.894894525157326	0.848375859925411	0.904334874453776	0.881365319634184	0.907765283142314	0.849621895396882	0.900216957808295	0.82915909584784	0.854774078112679	0.824119615075786	0.859893534471191	0.825711568807071	0.861657163838155	0.82124712173325	0.864939866855571	0.828794481812685	0.843901096051406	0.833834319598434	0.865802579792125	0.83885532141619	0.865598523115674	0.862895361523433	0.88382393257663	0.866748151934929	0.873901796068072	0.888745005861267	0.887388433985746
spa2RS	0.892417044425469	0.766930330875406	0.879294722168875	0.790803525731985	0.858622759696768	0.75910073377936	0.923929295949477	0.775471180570352	0.857705046210969	0.786414806561524	0.877676445902742	0.800999701718508	0.85779306635925	0.821122144428625	0.806808497996407	0.8520987951562	0.772883874107484	0.739084521672675	0.783303546093859	0.849085915176856	0.791847269952207	0.875925922751087	0.810435474884642	0.800651158553964	0.49049995164518	0.741291089081287	0.521619425708899	0.883158385122702	0.703890176095963	0.887310983239852	0.748880408428388	0.898093865757074	0.807780630630027	0.83827437229005	0.82721413704015	0.89348917822825	0.850062190342787	0.83040340278596	0.832941341907459	0.878154361135137	0.812920007713331	0.819083566292044	0.825374776321296	0.879648892654049	0.834338756639333	0.822189554386361	0.812668695273441	0.834024218202327	0.769585631590878	0.813676574687198	0.759693235333637	0.785825268391137	0.783920794165271	0.784002624607708	0.785264867785568	0.851769306380787	0.723674175829613	0.800166763587957	0.734719451051305	0.863015723604511	0.779683006159289	0.889482413351272	0.805642110282242	0.856813462063354	0.780706158984825	0.909071678896818	0.799703759722273
spa2Root	0.880025007501	0.8239141876064	0.8456722853614	0.84022379688525	0.825292927805743	0.751824071875513	0.876151694650975	0.757485291412775	0.853910635619117	0.808282117860487	0.837332208223425	0.813791333750375	0.8142941341903	0.773350163929388	0.759653079362938	0.80209505408664	0.7533243865008	0.59304670999838	0.766174671466537	0.8572904845493	0.835929041644094	0.795277410537238	0.85147486197592	0.809674374062864	0.741291089081288	0.54942918041178	0.738450827543919	0.880279412349	0.802017623723007	0.853872702234225	0.81746500705262	0.877955368302381	0.811832840260621	0.737148293275657	0.83240114671984	0.86613495052202	0.853114023237971	0.749716277506491	0.832136761958225	0.84165154195227	0.799883156108779	0.704137015226154	0.8276966722787	0.851542371208942	0.845715509549853	0.711083446681714	0.807468200752587	0.798382262991185	0.77185157683115	0.7077287520542	0.752951750800469	0.72676535283938	0.7522874759086	0.616763107674283	0.7370858528365	0.78994472720137	0.687440178702444	0.734937334624761	0.704727410200744	0.8054524914728	0.762603983319694	0.826595930497792	0.78205599254425	0.833636202159311	0.780450221563467	0.870380707157582	0.798738535747681
spa2Soil	0.893724224676031	0.765548169995906	0.872688662243766	0.776391101223	0.864099239956482	0.772823356983625	0.924543757004672	0.780808078171992	0.862285274927146	0.794931887137812	0.877612924596648	0.802242923874625	0.867598337165875	0.820803904301977	0.801356398271219	0.853350060038325	0.776587655212555	0.737172170984238	0.771849114537813	0.849314290156625	0.783367944775949	0.872198148955822	0.788646117961517	0.811934442535112	0.521619425708898	0.738450827543919	0.467880376345797	0.885931766235784	0.710293545923558	0.887355226660797	0.736895553917158	0.893223769913688	0.799919936461035	0.832958568816575	0.812386102744912	0.88906464060745	0.84341968634955	0.827556085350358	0.823749964102641	0.873868724714469	0.802465115112237	0.811396105048245	0.811562258778242	0.873544038172014	0.823039642373163	0.815285288184745	0.799058006296188	0.839140598162077	0.779590058340081	0.808555150502773	0.761561481882363	0.791832799487987	0.784513289905349	0.780405673849593	0.777779070166219	0.858099893387813	0.737329312518042	0.801071064731433	0.741172285557926	0.86418156968699	0.783384017360375	0.884119857337406	0.799535809241109	0.858605555224243	0.782868621876563	0.902527809566892	0.790272410338203
spa3RP	0.866990582439055	0.896010459545	0.874142603094556	0.908408114576194	0.880090711097413	0.910481332690653	0.90135907388243	0.916417918356153	0.905348363828334	0.918112761073306	0.884475892563819	0.918333754185791	0.887156456676889	0.898335774798055	0.906441976839667	0.881491424134933	0.895681390208722	0.865043070996356	0.905131013358805	0.866202198347377	0.891688324070049	0.88123850767753	0.902914783141096	0.852726424055516	0.883158385122702	0.880279412349	0.885931766235784	0.744538757733185	0.843946932100696	0.841668518506555	0.866244521094066	0.921116040289192	0.932384346855627	0.909351913302119	0.940194758731571	0.915630322285467	0.934348271941967	0.902277742859434	0.937171696110287	0.918373308684911	0.931680201549048	0.900134497902154	0.93811919719506	0.921050867299548	0.939746275899297	0.902187271439571	0.936905503163304	0.858130178408888	0.890453805639493	0.869481287422747	0.893655399375292	0.862490536408733	0.898287122114083	0.876946409048019	0.902583687327472	0.853878260573467	0.885780825221889	0.870619416445419	0.89951983970343	0.890337540789055	0.913123000150229	0.891766003849548	0.924929735277549	0.882769536313963	0.900380753318319	0.896964659940162	0.908516339490174
spa3RS	0.893756339261016	0.777085190542783	0.893108223217983	0.793876271020333	0.87574561562681	0.791036002953742	0.930432777505091	0.801454089392708	0.864324808474678	0.799468420329167	0.882390890839833	0.809296088353783	0.8669250440074	0.829694812587558	0.821497034925233	0.85768741518876	0.787700562166609	0.786444840631587	0.80500082271465	0.847418431964993	0.792482331193679	0.891348061020939	0.819881428362426	0.851672737795647	0.703890176095962	0.802017623723007	0.710293545923558	0.843946932100696	0.556717268807164	0.861740879118158	0.644627898980111	0.90434577562543	0.835996643495762	0.871224655813452	0.85357801321792	0.89633736992524	0.857448841218053	0.85630396679137	0.852923136948594	0.891640539499327	0.842220408592186	0.855778197159175	0.855086716489484	0.891008449844229	0.859568779559765	0.858002279963057	0.849646015908831	0.82980679327761	0.756960931172141	0.835600768134127	0.751703819472363	0.79423805614852	0.777054354113511	0.823515116407044	0.784808652859516	0.860850270508246	0.741421094366946	0.824033801275641	0.750523709021637	0.879160031588956	0.796192270906487	0.896431882543381	0.816513486223466	0.844996368573711	0.761594199271698	0.906148377610903	0.780422177335517
