	Site	Fraction	Sampletype	ph	AvailableNO3	AvailableP	AvailableK	AvailableCa	AvailableMg	ReserveP	ReserveK	ReserveCa	ReserveMg	Boron	Manganesium	Copper	Iron	MeanAirTemperature	MeanRelativeHumidity	latitude	longitude
tub3RS	GE4	RS	Neighbor	6.3	30.1	2.3	13.3	69.9	10.2	19.8	136.6	2323	182.9	0.3	233	3.9	293	9	88.5	48.56261	9.11195
tub3Soil	GE4	Soil	Pooled	6.3	30.1	2.3	13.3	69.9	10.2	19.8	136.6	2323	182.9	0.3	233	3.9	293	9	88.5	48.56261	9.11195
tub4Root	GE5	Root	Neighbor	7.3	23.5	1.5	21.7	167.4	12.7	93.7	120	7649	222.5	0.6	359	4.5	343	9	88.5	48.5563	9.1349
tub4RP	GE5	RP	Pooled	7.3	23.5	3.1	21.7	167.4	12.7	93.7	120	7649	222.5	0.6	359	4.5	343	9	88.5	48.5563	9.1349
tub4RS	GE5	RS	Neighbor	7.3	23.5	3.1	21.7	167.4	12.7	93.7	120	7649	222.5	0.6	359	4.5	343	9	88.5	48.5563	9.1349
tub4Soil	GE5	Soil	Pooled	7.3	23.5	3.1	21.7	167.4	12.7	93.7	120	7649	222.5	0.6	359	4.5	343	9	88.5	48.5563	9.1349
ItaRoot	IT1	Root	Pooled	7.9	10.1	1.8	22.8	166	36.6	11.4	802	1976	252	0.1	72	4.8	74	19.1	66.7	42.115461	12.494237
ItaRP	IT1	RP	Pooled	7.9	10.1	1.8	22.8	166	36.6	11.4	802	1976	252	0.1	72	4.8	74	19.1	66.7	42.115461	12.494237
ItaRS	IT1	RS	Pooled	7.9	10.1	1.8	22.8	166	36.6	11.4	802	1976	252	0.1	72	4.8	74	19.1	66.7	42.115461	12.494237
ItaSoil	IT1	Soil	Pooled	7.9	10.1	1.8	22.8	166	36.6	11.4	802	1976	252	0.1	72	4.8	74	19.1	66.7	42.115461	12.494237
