ItaRP	ItaSoil	PulhRP	PulhRS	PulhRoot	PulhSoil	SDRP	SDRS	SDRoot	SDSoil	geyenRP	geyenRS	geyenRoot	geyenSoil	hamRP	hamRS	hamRoot	hamSoil	spa1RP	spa1RS	spa1Root	spa1Soil	spa2RP	spa2RS	spa2Root	spa2Soil	spa3RP	spa3RS	spa3Root	spa3Soil	swe1RP	swe1RS	swe1Root	swe1Soil	swe2RP	swe2RS	swe2Root	swe2Soil	swe3RP	swe3RS	swe3Root	swe3Soil	swe4RP	swe4RS	swe4Root	swe4Soil	tou1RP	tou1RS	tou1Root	tou1Soil	tou2RP	tou2RS	tou2Root	tou2Soil	tub2RP	tub2RS	tub2Root	tub2Soil	tub3RP	tub3RS	tub3Root	tub3Soil	tub4RP	tub4RS	tub4Root	tub4Soil	
spa3Root	0.921381511453429	0.927521355856571	0.820905356018214	0.821842474356928	0.885076741904303	0.835787858541589	0.826745725784893	0.87812934477675	0.836016807662857	0.813777421276321	0.828579625364	0.788535119996661	0.793641261068714	0.771887995815755	0.845172555291086	0.825049036876875	0.8264228697965	0.813713439084643	0.789140989027914	0.797865191219016	0.794657567138214	0.793487179245333	0.802207769537	0.829466674752769	0.826063050029386	0.826899750047	0.757553800879714	0.750662281282505	0.596002813040979	0.750420788582224	0.788403897817714	0.828163556848411	0.816688402458161	0.829553169710048	0.81797627536131	0.854490130875611	0.820995097782643	0.85707647365144	0.790615787631632	0.848854356047367	0.821775024283548	0.818278869151454	0.789974938515286	0.836952812963428	0.830583106194268	0.843820722557743	0.81125680623078	0.818906366400125	0.824174490388732	0.803111746495286	0.818495538331732	0.80234561932449	0.811166057579286	0.809108013895803	0.791821465197029	0.829666590277116	0.793868012183886	0.815707270813875	0.810373661264048	0.823353459564667	0.814720958703257	0.828206257820881	0.79492082238725	0.839024405986876	0.751790422476607	0.806295506582333
spa3Soil	0.926519937512857	0.894347637981214	0.797927473688857	0.817547199028964	0.900522238511902	0.803460479006482	0.814899365031964	0.828412521340964	0.858070903243571	0.705366486244625	0.898453936273786	0.777180383019715	0.796835957718857	0.753833230006133	0.879986729832186	0.787979837335679	0.796597636312214	0.777278277253919	0.786939721322114	0.783525108886429	0.802369527610501	0.769024001894055	0.806474123633329	0.777850146811489	0.811434147939335	0.795198361013236	0.798749427671872	0.659411817378443	0.750420788582225	0.575318588973745	0.820673566911286	0.781541577027473	0.79282285055683	0.784465891329111	0.84236560175706	0.831797680802156	0.811366199019915	0.819538808290613	0.780345149244765	0.821421905386658	0.81535014035156	0.800239104102877	0.789348415167489	0.795255744818098	0.789546764648527	0.811757468340336	0.78566675792039	0.732456625500906	0.779701870411491	0.722022850376187	0.77867474505375	0.74994142618299	0.77682468944619	0.734906853441036	0.814135012666315	0.786460241655219	0.781924935924207	0.757869085780706	0.807766061126572	0.774344129023078	0.804351190398314	0.760230061755428	0.739548739038322	0.791524409848824	0.783807430586286	0.755148196460795
swe1RP	0.920221367422	0.903497733524	0.70152037549175	0.663384966733375	0.697136572118875	0.719182670273	0.75036497152625	0.820222090647	0.7486584044726	0.69857313918625	0.717269960923	0.6244054813655	0.629886417111667	0.605886836700857	0.6549759495006	0.703777724571625	0.66815073504975	0.712889725767	0.6445836464158	0.671680111679444	0.654973854141	0.691338863188222	0.652849577582	0.733119703431692	0.6932114055833	0.725114365927688	0.8745486703644	0.8585250969966	0.788403897817714	0.820673566911286	0	0.708065398494875	0.664034842467125	0.714719760210444	0.646041658819333	0.737703919946091	0.6930696785148	0.781964786267417	0.533304339834571	0.739029523327572	0.682320882830333	0.669736665128727	0.494622263151429	0.7075143221185	0.672074820571375	0.7392999126457	0.720216644922077	0.780233198277625	0.702939444729625	0.773556451963687	0.6917446225145	0.684539685012714	0.714113310316	0.72569636358825	0.7749877965076	0.802628919513625	0.7019977642167	0.812396592331563	0.710910102903333	0.706649146701333	0.6494705189098	0.744215350605	0.812837076901	0.845800141628067	0.777416822835	0.7991176385426
swe1RS	0.90428700005675	0.912949505993625	0.63077758443125	0.5457132801165	0.619540247869375	0.522898754133656	0.800428479830594	0.824143838587609	0.837278601537425	0.688864175458891	0.91224259481225	0.700804013335641	0.579089845032333	0.603603745248125	0.7824364807357	0.50790143031289	0.512114498492641	0.487771401206344	0.600262430109525	0.590600774178097	0.586049806530359	0.569994192454639	0.6387162332003	0.576885861221288	0.545541318807687	0.631816408219211	0.877935707383675	0.813661623937633	0.828163556848411	0.781541577027473	0.708065398494875	0.4330114554375	0.487985033728203	0.484806305789445	0.768128138554354	0.684299735781478	0.61519107269055	0.633286333098698	0.595262562900625	0.589732202641732	0.572451692750302	0.562075197916046	0.671345700412054	0.468450083811563	0.461206715896469	0.523855371933187	0.706481592816635	0.645999802248703	0.446118417958375	0.633792378601547	0.473602070092344	0.501456728207054	0.55351737440475	0.503748874080344	0.7947769709133	0.665140042114336	0.602869078969175	0.640430662714907	0.781083024299292	0.633162517441614	0.605210119104	0.58199981054901	0.823390139881719	0.813749327549117	0.866036626085062	0.7910347115936
swe1Root	0.910248150173375	0.910625922422375	0.604699183627781	0.521360556476469	0.585698110677687	0.498668456708344	0.821065368378531	0.855420043952234	0.835326348758275	0.708996616807281	0.899421114329375	0.685414621130031	0.561733712394292	0.589189292080571	0.74868227320035	0.487863137084359	0.483846872866484	0.466406169925047	0.5850865338503	0.583679363677694	0.547022293179781	0.555920262267292	0.611190063736225	0.572818099065654	0.505306396276212	0.623595619956805	0.877853405766225	0.827501476710225	0.816688402458161	0.79282285055683	0.664034842467125	0.487985033728203	0.413731384186344	0.487825077238264	0.748651428870812	0.702356400891829	0.603891654412213	0.651508979868198	0.571950294769	0.590527933517902	0.529001889234948	0.549372623867784	0.645966138314679	0.457235535304672	0.429449516695656	0.518732775033275	0.694546886774317	0.654595822999133	0.422199272278828	0.642996271392789	0.454212672198062	0.494548941316732	0.513285842949646	0.494334860978922	0.785116186351225	0.670211715096906	0.590413068315975	0.653535199210023	0.781342604373417	0.638020854163229	0.5784498514627	0.58093965604373	0.828214303098875	0.820152806359317	0.861720927069062	0.7946951451323
swe1Soil	0.907367800818556	0.897189665844222	0.642740580193417	0.553201983027819	0.625851706611	0.535450572376083	0.81570355490875	0.839106853697194	0.850730061142511	0.699755630238708	0.915779695198778	0.705186631552514	0.573988560062926	0.607122229589206	0.783592306028445	0.501334341328292	0.51331839237693	0.481433086845861	0.604033341981689	0.596599811604136	0.588633605068667	0.55115219460579	0.639029380361622	0.585414585449932	0.548065416148922	0.618145385107958	0.881749173517822	0.818999263986534	0.829553169710047	0.784465891329111	0.714719760210444	0.484806305789444	0.487825077238264	0.44229391134916	0.770041356350667	0.694872182728616	0.6218526172502	0.640841710278204	0.605293051066317	0.598912933062921	0.573722897710704	0.550345156207879	0.683517287928984	0.471003706184291	0.460881071969222	0.530609419136233	0.710099468455624	0.647417446166486	0.449078170854917	0.634814730880535	0.477360268726889	0.512254144103508	0.552646317220611	0.485720496379347	0.795992858407222	0.667728450291653	0.609300879292944	0.643012378180854	0.791463897268296	0.645260143848556	0.616503409231666	0.576630587266037	0.836927135576695	0.819258790174978	0.869835697142111	0.79685495923617
swe2RP	0.924176256746667	0.918773817031	0.774526590220333	0.752313943767438	0.783102225417208	0.783436655569354	0.830281400065667	0.875931258621292	0.8287890723316	0.781405622697063	0.875345258756667	0.758269223631854	0.739809989454167	0.723861524293238	0.7622675303825	0.767180598303125	0.759083620509187	0.759982114794687	0.7370086157066	0.760634106718389	0.740514107713291	0.759471820615278	0.739360654869133	0.794865399755141	0.772504219859534	0.791305090645864	0.8708361766764	0.866200820472256	0.81797627536131	0.84236560175706	0.646041658819333	0.768128138554354	0.748651428870812	0.770041356350667	0.616571729446222	0.742980434271742	0.739325483490367	0.767029538317389	0.684512554209619	0.780368222172488	0.749926358735514	0.733351882374576	0.664674711435119	0.7654244524315	0.749575521542417	0.784751436173183	0.796124515278051	0.826594492910302	0.772906952165125	0.818693546066573	0.760949183521042	0.758027563236619	0.768258366718806	0.773479449364042	0.8125998908613	0.828485034860354	0.7684220316286	0.826543490681583	0.811911435540667	0.789684786584111	0.7432078295283	0.800924954957597	0.863162206220042	0.875165447743033	0.84002250518	0.840583346976534
swe2RS	0.927805605346909	0.913325493310818	0.758064088642909	0.726811925868477	0.786456719035693	0.729902645875455	0.81041616264025	0.838036186606887	0.843625963841655	0.752390195089011	0.915244041685455	0.767173473817216	0.722634623606424	0.721210696579506	0.827173568925309	0.708560615126511	0.716419377216943	0.706846035827648	0.737944609358746	0.740885668194778	0.733661779613886	0.729780753745738	0.762105490231291	0.740833279644119	0.735978845827909	0.761533839137551	0.889523830666545	0.851788801799091	0.85449013087561	0.831797680802157	0.737703919946091	0.684299735781477	0.702356400891829	0.694872182728616	0.742980434271742	0.612336465300364	0.710563342563755	0.653701425187424	0.706451247368338	0.701598298807435	0.72791023385975	0.68707066064529	0.734728845797091	0.666653148504875	0.688333279132682	0.708618738710282	0.789066587183993	0.765335249318091	0.693997226035466	0.762318448740063	0.701808272021375	0.708823697341065	0.736107625409621	0.709574300249693	0.833667957026964	0.77908008206488	0.740677401646027	0.764201809191211	0.822785627475848	0.757196802287712	0.739613296828164	0.744767231716545	0.841761012282978	0.836028796941697	0.866051834334477	0.821314710787055
swe2Root	0.9134182307417	0.9239346449597	0.691528884622425	0.629357115410575	0.679882180264475	0.636098911698737	0.819507952042425	0.858054100449975	0.83697346615676	0.744553083584	0.8916558275977	0.725840057210525	0.619801391353267	0.655519758914129	0.77855387268994	0.61554175725515	0.598270643597087	0.607372743881288	0.65555832943838	0.661566904098744	0.64494851765465	0.647118707727967	0.67865576536532	0.676010679134631	0.64014128636703	0.705647226809519	0.8689900034014	0.836387252401187	0.820995097782643	0.811366199019915	0.6930696785148	0.61519107269055	0.603891654412213	0.6218526172502	0.739325483490367	0.710563342563754	0.61287632554416	0.694104984237958	0.640962622802571	0.68752652180605	0.6491606611043	0.638339317593319	0.687851263931714	0.603985109279988	0.577032673817288	0.64385105055664	0.7364947932914	0.725364959583813	0.578047907783312	0.718242182011563	0.598005528195038	0.619779538989543	0.6452437087017	0.628288248136325	0.79834648295484	0.744747884609288	0.66443033509875	0.737107502763037	0.792266760350633	0.705718883062258	0.6677759328647	0.687400247157608	0.8423411051981	0.846783075352306	0.85035894802425	0.821824252529094
swe2Soil	0.91150630305675	0.900544378222083	0.738401263961917	0.699541135792354	0.772211053204834	0.673441486207854	0.813375546513792	0.837379973971177	0.863217383193633	0.751778954634687	0.91844074545575	0.773944892084104	0.716667227047	0.714774986684428	0.85018597985005	0.661300795653104	0.678194367304614	0.643557055712333	0.7248125093201	0.724637280004315	0.720857928478813	0.704235249968009	0.749907408766333	0.702206074846013	0.692255516635242	0.735232486705401	0.885756140659167	0.839814539602483	0.85707647365144	0.819538808290613	0.781964786267417	0.633286333098698	0.651508979868198	0.640841710278203	0.767029538317389	0.653701425187424	0.694104984237958	0.586128225158097	0.702881360231345	0.677028660905619	0.696325824008306	0.665567230621667	0.749458757952976	0.625284203790229	0.631295964749167	0.656815060302233	0.773009722142641	0.731912918145786	0.627815632434146	0.716484205269302	0.64552279344325	0.65998464188625	0.696349137960792	0.656874179425396	0.833538441367583	0.751385441067932	0.718817232722258	0.724075960409818	0.821905735299472	0.737390244495201	0.7245741251826	0.697853640751625	0.844985067037646	0.838982317689828	0.875590308706604	0.816180015718095
swe3RP	0.911061868698	0.886303102037571	0.654202662562786	0.607891809156893	0.662282558113393	0.614076012177482	0.751065800310393	0.816849913517285	0.802354433404571	0.668190539089393	0.787849060736	0.624190826959321	0.587801873782667	0.571155423719347	0.706462422060143	0.594619309141089	0.570779899800339	0.572799366185786	0.592346079334857	0.619572883959508	0.601026367360536	0.618878409574016	0.616411488587457	0.661575755855736	0.618777077963071	0.681651655984696	0.858055448892229	0.824188763705552	0.790615787631632	0.780345149244765	0.533304339834571	0.595262562900625	0.571950294769	0.605293051066317	0.684512554209619	0.706451247368338	0.640962622802571	0.702881360231345	0.419281871096735	0.652214143990449	0.606480646039762	0.593867036459182	0.482025113173061	0.574223159657393	0.538006623993339	0.619003949890943	0.693215050242132	0.700131071776	0.579326622276643	0.693443462608241	0.549334435479714	0.576578444563265	0.606300275702357	0.589569932079589	0.776642901728743	0.744131774744938	0.650966166745871	0.737874804982044	0.710437435740952	0.652853162312464	0.605868163422486	0.650167406931679	0.803045877235179	0.819328495000419	0.811323824477857	0.783279980975667
swe3RS	0.908125305076714	0.895551320019786	0.698387710433786	0.64437143884925	0.704098173983036	0.616466098443	0.815301554518714	0.844816164646152	0.863431555472029	0.749002678002839	0.944322743133429	0.764800437021161	0.675712286193429	0.692032331855388	0.809587741982686	0.598252802307009	0.617109030169911	0.5827528977675	0.687492650106486	0.684181427852587	0.682040928531152	0.667428690569	0.7085922153077	0.651542204787319	0.630544757596036	0.685900154710942	0.893909482598457	0.83914796283378	0.848854356047367	0.821421905386658	0.739029523327572	0.589732202641732	0.590527933517902	0.598912933062921	0.780368222172488	0.701598298807435	0.68752652180605	0.677028660905619	0.652214143990449	0.567378440091939	0.621920518090345	0.605597602661429	0.708421865257959	0.545125509617063	0.553310607784223	0.594616564761043	0.757358945008506	0.715776460506023	0.572913927775705	0.709928962079188	0.571413381265955	0.600306756132561	0.640394909644155	0.596805257196089	0.817687510746071	0.728806743113335	0.6814607649374	0.707189520499085	0.824340230886071	0.714458917574167	0.691954326069529	0.668844654516167	0.848038357107911	0.813412381340947	0.890040333229946	0.799297351037881
swe3Root	0.898055594376417	0.915463384731667	0.6612658372805	0.583220438430271	0.626151862272594	0.573227852378469	0.818708777333729	0.86505173075027	0.8374147081764	0.747424344080864	0.925592437042417	0.731265317854886	0.614465626674667	0.643580557371453	0.749013718306316	0.555477835794875	0.549546108805635	0.539037537179115	0.634624767001733	0.637604623267963	0.599874802359458	0.617154189826204	0.64133641363025	0.625518617006564	0.563061145103233	0.651413407158401	0.885901903340217	0.842671184391916	0.821775024283548	0.81535014035156	0.682320882830333	0.572451692750302	0.529001889234948	0.573722897710704	0.749926358735514	0.72791023385975	0.6491606611043	0.696325824008306	0.606480646039762	0.621920518090345	0.52800178181275	0.572164710660379	0.672142419957821	0.531979457854031	0.507881343856677	0.584776331125125	0.72255844208093	0.712292153121719	0.528430544743844	0.70268538687237	0.523411091761937	0.565364773145071	0.577212904422264	0.570319006334635	0.790922880334734	0.717617616318495	0.640154963963758	0.708985135556349	0.796506874410083	0.690087863563194	0.622450223430667	0.651434522934819	0.866845582270646	0.840536185157183	0.880181433880542	0.809625698187823
swe3Soil	0.913362642882	0.892070641537182	0.668980767443682	0.579404019676375	0.631728662057739	0.581991896902295	0.805512986155136	0.847755571847466	0.849386705754	0.714866954043579	0.930116402886182	0.718512303351284	0.585557777102273	0.621982916653935	0.747850769929691	0.548978153384659	0.538706000866125	0.529159679657557	0.610843787286927	0.612058112115232	0.596595070639738	0.578477693956071	0.630747196505709	0.62663634488807	0.581286678450146	0.638701067266273	0.875909426602273	0.830793558911552	0.818278869151454	0.800239104102876	0.669736665128727	0.562075197916045	0.549372623867784	0.550345156207879	0.733351882374576	0.68707066064529	0.638339317593319	0.665567230621667	0.593867036459182	0.605597602661429	0.572164710660379	0.500471977764678	0.660373821308377	0.529727803936182	0.514728021571432	0.5821730662758	0.719101819150161	0.701917481447545	0.534040853777204	0.691506848249517	0.523102769241136	0.562858661963974	0.586140305516939	0.548453353141329	0.783427825654418	0.713425603987136	0.635869645894218	0.700108345669921	0.790265909163818	0.671311630638886	0.620635851182564	0.63729610941944	0.849055552880796	0.824897914823382	0.866407615138773	0.801639235938321
