OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species	value1	value2
OTU_325	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__	0.67	3
OTU_324	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_327	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_326	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__EB1017	g__	s__	1	3
OTU_321	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__	s__	0.67	3
OTU_320	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_322	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Aeromicrobium	s__	1	3
OTU_329	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__	0.67	3
OTU_328	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	1	1
OTU_3421	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_890	Unassigned	p__others	1	1	1	1	1	1	1
OTU_895	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__	1	3
OTU_894	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_431	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_430	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	1	3		
OTU_433	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__	s__	1	3
OTU_432	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__	0.67	3
OTU_435	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	0.67	3			
OTU_434	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	g__Propionibacterium	s__acnes	1	3
OTU_437	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	1
OTU_436	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Agromyces	s__	1	3
OTU_439	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	0.67	3
OTU_438	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_1436	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__	s__	0.67	3
OTU_1435	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	1	3
OTU_714	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__	1	3
OTU_715	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Parachlamydia	s__	0.67	3
OTU_1155	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__EB1017	g__	s__	1	3
OTU_717	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Aeromicrobium	s__	1	3
OTU_1151	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Lutibacterium	s__	0.67	3
OTU_1153	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_710	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_1159	Unassigned	p__others	1	1	1	1	1	1	1
OTU_712	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_713	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	0.67	3		
OTU_1032	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	0.67	3		
OTU_1321	k__Bacteria	p__others	c__Phycisphaerae	o__Phycisphaerales	f__	g__	s__	1	3
OTU_1328	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_1927	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__	g__	s__	1	3
OTU_1816	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_3763	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_2146	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_556	Unassigned	p__others	1	1	1	1	1	1	1
OTU_557	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__	g__	s__	1	1
OTU_555	k__Bacteria	p__Acidobacteria	c__Sva0725	o__Sva0725	f__	g__	s__	1	3
OTU_552	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__	0.67	3
OTU_553	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__	1	3
OTU_550	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_158	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_159	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__	0.67	3
OTU_69	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	3
OTU_68	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_65	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Janthinobacterium	s__lividum	0.67	3
OTU_64	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__	1	3
OTU_67	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Actinoplanes	s__	0.67	3
OTU_66	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_156	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	0.67	3
OTU_60	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	1	3
OTU_63	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__	1	3
OTU_62	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__	s__	1	3
OTU_882	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	0.67	3
OTU_883	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	1	3
OTU_336	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Polyangiaceae	g__	s__	0.67	3
OTU_885	k__Bacteria	p__others	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__	s__	0.67	3
OTU_334	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__BD7-3	f__	g__	s__	1	3
OTU_335	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_338	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_339	k__Bacteria	p__Bacteroidetes	c__At12OctB3	o__	f__	g__	s__	1	3
OTU_652	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__	s__	0.67	3
OTU_3235	k__Bacteria	p__others	c__Elusimicrobia	o__IIb	f__	g__	s__	1	3
OTU_428	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__	1	3
OTU_429	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_426	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_424	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_425	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	1	3			
OTU_422	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_423	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_420	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__	s__	0.67	3
OTU_1491	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	1	3		
OTU_1490	k__Bacteria	p__others	c__SJA-4	o__	f__	g__	s__	1	3
OTU_1496	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Polyangiaceae	g__	s__	0.67	3
OTU_1498	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__	s__	0.67	3
OTU_3037	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__	g__	s__	0.67	3
OTU_1004	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__	s__	0.67	3
OTU_1005	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_1009	k__Bacteria	p__others	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	1	3
OTU_891	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__	g__	s__	1	3
OTU_1314	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__	0.67	3
OTU_1569	k__Bacteria	p__Actinobacteria	c__OPB41	o__	f__	g__	s__	1	3
OTU_1441	k__Bacteria	p__Acidobacteria	c__iii1-8	o__SJA-36	f__	g__	s__	1	3
OTU_3212	k__Bacteria	p__Proteobacteria	c__	o__	f__	g__	s__	1	3
OTU_3578	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__	g__	s__	0.67	3
OTU_2375	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__AK1AB1_02E	g__	s__	1	3
OTU_2152	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__	g__	s__	1	3
OTU_3101	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	1	3
OTU_523	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_521	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	1	3
OTU_520	k__Bacteria	p__others	c__TK10	o__AKYG885	f__5B-12	g__	s__	1	3
OTU_527	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	0.67	3			
OTU_526	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_525	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__	g__	s__	1	3
OTU_524	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3	o__	f__	g__	s__	1	3
OTU_529	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	0.67	3
OTU_528	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	0.67	3
OTU_191	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_3336	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	0.67	3
OTU_3334	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	1	2
OTU_58	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	1	3		
OTU_59	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Ellin6067	f__	g__	s__	1	3
OTU_50	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__biprosthecium	1	3
OTU_51	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	1	3		
OTU_52	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__Actinocorallia	s__	0.67	3
OTU_53	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	1	3
OTU_54	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__N1423WL	f__	g__	s__	1	3
OTU_55	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__	1	3
OTU_56	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	0.67	3	
OTU_57	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	0.67	3	
OTU_1791	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__	g__	s__	1	1
OTU_402	k__Bacteria	p__others	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__	0.67	3
OTU_181	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111	g__	s__	1	3
OTU_180	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_183	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_182	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Spirobacillales	f__	g__	s__	1	3
OTU_185	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__	1	3
OTU_184	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__	1	3
OTU_639	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111	g__	s__	1	3
OTU_638	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	1	3
OTU_637	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__A21b	f__EB1003	g__	s__	1	3
OTU_635	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_630	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__	1	3
OTU_94	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__Ellin517	g__	s__	0.67	3
OTU_162	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rubellimicrobium	s__	1	3
OTU_161	k__Bacteria	p__others	c__Chloroflexi	o__Herpetosiphonales	f__	g__	s__	1	1
OTU_97	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__	1	3
OTU_3209	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	1	3
OTU_90	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	1	3
OTU_91	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__FFCH4570	g__	s__	0.67	3
OTU_92	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__	1	3
OTU_93	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	1	3
OTU_989	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__	1	3
OTU_988	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_458	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__	0.67	3
OTU_453	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_452	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__	0.67	3
OTU_982	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	0.67	3
OTU_985	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_456	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	1	3		
OTU_455	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_454	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	1
OTU_3023	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__PK34	g__	s__	0.67	3
OTU_1177	k__Bacteria	p__others	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__	1	3
OTU_1175	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__	s__	0.67	3
OTU_856	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__	s__	0.67	3
OTU_855	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_854	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	1	3				
OTU_858	k__Bacteria	p__others	c__SJA-28	o__	f__	g__	s__	1	3
OTU_1013	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__FFCH4570	g__	s__	0.67	3
OTU_1018	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__	0.67	3
OTU_1302	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Ellin5301	g__	s__	1	3
OTU_1306	Unassigned	p__others	1	1	1	1	1	1	1
OTU_2304	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__	f__	g__	s__	1	3
OTU_2302	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_674	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	0.67	3
OTU_531	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__	1	3
OTU_532	Unassigned	p__others	1	1	1	1	1	1	1
OTU_534	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Nocardia	s__	1	3
OTU_536	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	0.67	3
OTU_539	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__	0.67	3
OTU_47	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__aquatilis	0.67	3
OTU_46	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	1	3
OTU_45	k__Bacteria	p__others	c__S085	o__	f__	g__	s__	1	3
OTU_44	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__	0.67	3
OTU_43	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__	1	3
OTU_42	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Ralstonia	s__	1	3
OTU_41	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	1	3
OTU_40	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__Rubrobacter	s__	1	3
OTU_49	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_48	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	1	3			
OTU_1783	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinospicaceae	g__	s__	1	3
OTU_1540	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Gallionellales	f__Gallionellaceae	g__Gallionella	s__	1	3
OTU_628	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__	1	3
OTU_198	k__Bacteria	p__others	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__	s__	1	3
OTU_199	k__Bacteria	p__others	c__Armatimonadia	o__FW68	f__	g__	s__	1	3
OTU_196	k__Bacteria	p__others	c__TK10	o__AKYG885	f__Dolo_23	g__	s__	1	3
OTU_197	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__EB1017	g__	s__	1	3
OTU_194	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	0.67	3
OTU_620	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	0.67	3
OTU_416	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__	1	3
OTU_941	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__	1	3
OTU_992	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__	s__	0.67	3
OTU_991	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	0.67	3
OTU_448	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	1	3
OTU_449	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__	0.67	3
OTU_440	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__	1	3
OTU_441	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_442	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__	g__	s__	1	3
OTU_443	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_445	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_446	k__Bacteria	p__others	c__TK10	o__AKYG885	f__Dolo_23	g__	s__	1	3
OTU_1169	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_1165	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__	0.67	3
OTU_1164	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Thermomonosporaceae	g__	s__	0.67	3
OTU_1161	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_1162	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	g__	s__	0.67	3
OTU_844	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_1763	k__Bacteria	p__Bacteroidetes	c__At12OctB3	o__	f__	g__	s__	1	3
OTU_1762	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Procabacteriales	f__Procabacteriaceae	g__	s__	1	3
OTU_849	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Rhodocytophaga	s__	1	3
OTU_2910	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__	g__	s__	1	3
OTU_1375	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	0.67	3		
OTU_1202	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Dysgonomonas	s__	1	3
OTU_1203	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Dysgonomonas	s__	1	3
OTU_1206	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__	g__	s__	1	3
OTU_1996	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_2218	k__Bacteria	p__others	c__Chloroflexi	o__AKIW781	f__	g__	s__	1	3
OTU_215	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_1282	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Saprospiraceae	g__	s__	1	3
OTU_214	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__	1	3
OTU_217	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_216	k__Bacteria	p__others	c__TK10	o__AKYG885	f__Dolo_23	g__	s__	1	3
OTU_211	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__	0.67	3
