ItaRP	ItaRS	ItaRoot	ItaSoil	PulhRP	PulhRS	PulhSoil	SDRP	SDRS	SDRoot	SDSoil	geyenRP	geyenRS	geyenRoot	geyenSoil	hamRP	hamRS	hamRoot	hamSoil	spa1RP	spa1RS	spa1Root	spa1Soil	spa2RP	spa2RS	spa2Root	spa2Soil	spa3RP	spa3RS	spa3Root	spa3Soil	swe1RP	swe1RS	swe1Root	swe1Soil	swe2RP	swe2RS	swe2Root	swe2Soil	swe3RP	swe3RS	swe3Root	swe3Soil	swe4RP	swe4RS	swe4Root	swe4Soil	tou1RP	tou1RS	tou1Root	tou1Soil	tou2RS	tou2Root	tou2Soil	tub2RP	tub2RS	tub2Root	tub2Soil	tub3RP	tub3RS	tub3Root	tub3Soil	tub4RP	tub4RS	tub4Root	tub4Soil
SDSoil	0.633091638054812	0.527448935199875	0.711275984907875	0.542860775712	0.697196844664125	0.561725008155109	0.568385819374172	0.561229628883031	0.404639745633719	0.796375217218312	0.345496981096625	0.789025675338937	0.665505408621563	0.922474892038	0.622626044370292	0.767849854753	0.649976663535857	0.873683515058729	0.682689006122125	0.670377027594271	0.624924351567808	0.810164076378097	0.621620298470227	0.730292644175463	0.615038249895308	0.827640902608454	0.616128340992025	0.742228370946183	0.611229874552062	0.825291597138552	0.639896014418408	0.71625797997575	0.599445920137383	0.798087610040598	0.635543340195034	0.7045014782612	0.706485497482532	0.830887296793286	0.7450445355593	0.7145671293955	0.652455736337075	0.812226909534009	0.664202715488108	0.694698087696333	0.648796181260964	0.810903370475321	0.652507246284617	0.721925740606357	0.651626274572133	0.782864205314711	0.656356608117258	0.654861429017229	0.849309709980525	0.670134420181917	0.662910407080483	0.651803609552554	0.717610109937482	0.656696081867609	0.706067705114406	0.561661107948491	0.812085715423979	0.576765551751141	0.686879599645864	0.595979379170385	0.764739659655438	0.612680642089359
geyenRP	0.650540306534625	0.804448091352	0.733770778683667	0.831836233364188	0.560256954078417	0.712654020911031	0.785566386342562	0.629577406397375	0.766464443142719	0.698616096321958	0.789025675338937	0.355700655664875	0.618403336840812	0.7635434239975	0.779604294199417	0.63925200421875	0.758743113885178	0.794089995686708	0.86368234308845	0.628816972767	0.76125783432515	0.717005747817778	0.839607460695313	0.61819321122335	0.726435984348885	0.754839805621591	0.803136895504217	0.61493294543745	0.769825044431429	0.698391583143375	0.8294796123222	0.698810412493	0.79986301585765	0.757321274491482	0.870784683762999	0.72864444457675	0.858062889576812	0.767081438395322	0.92077897307005	0.7170498124457	0.852987704070883	0.797703376816071	0.885277759631116	0.756987691889028	0.849264396805572	0.781500804143482	0.881218368261983	0.624951865542375	0.749086709655672	0.698179845064385	0.799066002179187	0.758526102245146	0.76618951906615	0.806941640176417	0.649036130212033	0.785606601977953	0.685307019731929	0.825671407809719	0.631000960524937	0.750335717799375	0.737170497741896	0.805553142855562	0.617072880594854	0.734789017411687	0.689376142469953	0.802421914464891
geyenRS	0.650325365366	0.675469705778063	0.733967934014167	0.692691237783375	0.630978459643417	0.578331934004688	0.636348393376125	0.638634466948625	0.64581861282975	0.77351264582925	0.665505408621562	0.618403336840812	0.377596362127875	0.85230006465125	0.595540946803	0.699375939219	0.67361530353225	0.839912522410208	0.7465939197006	0.659708536933917	0.681101594402017	0.76701148708175	0.724926373848172	0.68350455930025	0.648734416165904	0.795362403983454	0.690896086221283	0.6833995853967	0.674986685489518	0.777074366011208	0.727773285603734	0.717406056934708	0.7183132378521	0.789975103801536	0.771999519561133	0.7282053743599	0.807498192596719	0.812609629874571	0.8511763329709	0.7335137033343	0.7757475888659	0.819874509724857	0.79930431310095	0.752917215910556	0.788978795477642	0.815919877349768	0.809039272670617	0.667776152212625	0.651227267995031	0.739822612931058	0.688335751664406	0.651377360993542	0.81044751871405	0.689793155225542	0.667145473620067	0.694921039743938	0.713856756903072	0.728809397403891	0.665614548299646	0.60855307987625	0.786869964971354	0.652754748327484	0.648796639099437	0.640087953692771	0.730834946010906	0.684400345142516
geyenRoot	0.88356961056425	0.93753224903725	0.849172382103667	0.94493500713075	0.86356028232	0.903929365393875	0.920882194543875	0.86572268611725	0.917168773827	0.765541936433667	0.922474892038	0.7635434239975	0.85230006465125	0	0.906049629895	0.810966872915	0.922426788129571	0.734610051258	0.952536932873	0.863177836644667	0.907279468165467	0.731690523998111	0.939324409542625	0.8571864009806	0.904900239445154	0.732475747731545	0.931458160545267	0.8446236689764	0.922450202401286	0.740422102262833	0.942673298950333	0.846316500626917	0.904970302969867	0.7582512671975	0.932341934741267	0.8512995538652	0.929905923587	0.751641909145857	0.956923524116	0.865408531618	0.9322324622074	0.786270251883429	0.9480641259214	0.890150719798333	0.939410897731143	0.769531213898929	0.9537374898754	0.864923029268786	0.912120402068063	0.779175881965539	0.9310123193895	0.913945344417	0.7040208260788	0.929001449047917	0.8750939795032	0.933200228103125	0.839234596095643	0.94817930538175	0.848491462382583	0.9102818364005	0.73286614349825	0.930160386398188	0.854091039647667	0.90988996023325	0.755360464810813	0.929481767376563
geyenSoil	0.695236210234917	0.607177617276667	0.760515113783222	0.59818468148975	0.729681233452556	0.562624098765125	0.559989750623667	0.704813112463333	0.625562124232583	0.826574390658333	0.622626044370292	0.779604294199417	0.595540946803	0.906049629895	0.351797648735333	0.777275414867667	0.674551916713381	0.865937099520778	0.670812978217733	0.734764611692111	0.685011308212867	0.815792027333333	0.663838878737271	0.7634032131663	0.658327794070128	0.827903379497333	0.639364639876867	0.769427825813645	0.664308188094429	0.833258798429334	0.671720758452089	0.757276772163361	0.679948575406111	0.816622028112786	0.699195432954156	0.748242570549533	0.772583869691917	0.843788065846857	0.790622199277467	0.761916273947733	0.724847636956267	0.828179397573095	0.7319770927232	0.760393580054482	0.740943047821595	0.834447701020405	0.742898167524578	0.75072683222369	0.658600280953521	0.793421593221308	0.654248610933458	0.631393429221445	0.840777943467667	0.631529001883889	0.725931904644356	0.686800978085437	0.760306430479809	0.681320876833979	0.74130385811425	0.554586417854691	0.827187004828417	0.552311704540417	0.728505293125556	0.643159789898972	0.781260807639312	0.625539594382167
hamRP	0.64359587975125	0.7622904499255	0.732335183839	0.783343803667	0.627864268474333	0.711206975782625	0.765715465265	0.65437003710975	0.751816403673875	0.750384876635667	0.767849854753	0.63925200421875	0.699375939219	0.810966872915	0.777275414867667	0	0.665087277506428	0.775853231211666	0.8037463487854	0.622512945550333	0.7345326637764	0.748998953194222	0.791664369352687	0.6132736627612	0.690679583833923	0.753387727311727	0.754734323626333	0.630544075720333	0.728586869744214	0.736481112007833	0.780632104971267	0.702578309274917	0.7764540609224	0.757170647981357	0.843622279156667	0.7196961878688	0.83227975361425	0.786493579600429	0.8886988898907	0.7150823392324	0.819095175555133	0.801253186600357	0.853120400943933	0.738005900530889	0.812897565723857	0.778749906712357	0.838314425374733	0.626154425734428	0.715861154937063	0.717136055976154	0.758935052582688	0.725143340173417	0.770953198167	0.766554834135167	0.631847949715333	0.728314679947937	0.658243327629714	0.767959823566	0.660928742510333	0.739443028181071	0.745841603719334	0.784116399469438	0.621416351160667	0.69709455210275	0.690810066371313	0.75703745954825
hamRS	0.571608756094679	0.543885092427429	0.695572660175381	0.578901849081321	0.643921723318476	0.579934601415375	0.632445394219893	0.638913625510607	0.624718784401625	0.813509091997738	0.649976663535857	0.758743113885179	0.67361530353225	0.922426788129571	0.674551916713381	0.665087277506428	0.371215443096449	0.858543005468881	0.622177647766057	0.606614347350548	0.592116752595086	0.801255428994476	0.628465017736143	0.651805792644914	0.542760574471406	0.820853580261	0.575773903897533	0.664832169689714	0.551264874576806	0.820531785030333	0.609131266820438	0.725623923304226	0.705041087254886	0.806665849229551	0.764568417253343	0.731802743051171	0.787108986370161	0.841321682656653	0.8447228331425	0.728562981000171	0.72989119752161	0.830469166739	0.763267138536581	0.71676268923946	0.717867466027092	0.819580687623235	0.742259979205162	0.626398622046082	0.560029118905643	0.763685761197439	0.58881878775275	0.579769978472976	0.8363592716396	0.616730643087238	0.6037882606968	0.531807983105402	0.657074899778755	0.56603323006667	0.678195190560107	0.601811741072592	0.807591245959905	0.648827911222214	0.627024765846464	0.5422270314425	0.738752855800536	0.609320638409429
hamRoot	0.84301903690325	0.884481143778292	0.809460729364667	0.884857417349458	0.828198344925278	0.856353110301584	0.868977573260583	0.823318157477125	0.869935060320771	0.782648887036667	0.873683515058729	0.794089995686708	0.839912522410208	0.734610051258	0.865937099520778	0.775853231211666	0.858543005468881	0.552752649257667	0.8904380528924	0.833178221956806	0.873648481519278	0.77871693694237	0.892955102068458	0.826090423276583	0.861951815598718	0.747529912739864	0.881421995278711	0.826716550759333	0.86805697133	0.767833682277722	0.882897580828845	0.839882324886458	0.880074660186955	0.773145183302774	0.907565546073822	0.8364035825634	0.911599541995187	0.779864171515714	0.9397361502105	0.847323767863867	0.904976443069711	0.783192620897952	0.922573942525467	0.865129599801055	0.910384817811786	0.744996795539619	0.9245940784217	0.838438525774524	0.865266394064677	0.788212725396756	0.876229784419854	0.864930551786153	0.742242821461433	0.874450944273208	0.835662984577167	0.876391455512583	0.801257191966869	0.88240829796274	0.823741020835708	0.859497327897226	0.739221854901653	0.872865857587198	0.824922231829445	0.855221925224806	0.767884661973709	0.863331009957938
hamSoil	0.71292321255285	0.60852123632235	0.770007344881267	0.58795908113475	0.790884455683667	0.651403725275475	0.6345269246469	0.75541019894365	0.68716034132265	0.8672037129599	0.682689006122125	0.86368234308845	0.7465939197006	0.952536932873	0.670812978217733	0.8037463487854	0.622177647766057	0.8904380528924	0.45516342901952	0.7522905237858	0.68971186209276	0.851512623008333	0.631203981315462	0.79168071637026	0.661397304475569	0.862398989309673	0.616065389542987	0.79968302979808	0.659521338301343	0.870117853599617	0.634306347758533	0.800549526955017	0.73665791779476	0.846663693102643	0.749513033325093	0.79824122476068	0.801083149452225	0.872454008064657	0.81482826218754	0.79982204654816	0.737338522573027	0.844806976697957	0.742745861178973	0.779468342286933	0.740741792969114	0.852815741376643	0.73358111755684	0.780023337366385	0.677909913619925	0.830268142168216	0.6557035712599	0.652503819936217	0.8695374231546	0.643778848869617	0.74449928553376	0.66339272020115	0.777609145531757	0.639191784992075	0.788338680857633	0.665645627690471	0.861887419818733	0.650575760867325	0.761114770747417	0.6660639540232	0.811945390136775	0.636206204605287
spa1RP	0.466607144948625	0.603982632940583	0.658233043632278	0.651568877472417	0.528494951273333	0.627695764339417	0.7051428017455	0.519892681889292	0.638943982540854	0.733734348326	0.670377027594271	0.628816972767	0.659708536933917	0.863177836644667	0.734764611692111	0.622512945550333	0.606614347350547	0.833178221956805	0.7522905237858	0.340392523986555	0.5847902763637	0.740097533817037	0.678260539587802	0.54047889614675	0.585916508423013	0.775663302594834	0.654523800907766	0.574723386333033	0.637946836643512	0.75181926455582	0.705322289288178	0.616339413584056	0.676577862385856	0.745152931517667	0.769074135713023	0.636231819269367	0.745435945574	0.77971615314819	0.8367417274506	0.599606774360633	0.711481257862	0.774519107282012	0.757326683604645	0.611834083678889	0.686474208905155	0.757261661487131	0.726665041235289	0.566759846246952	0.656256536559	0.688271841363513	0.699915620752948	0.682709108557278	0.802049401999	0.726186171978069	0.531575485156578	0.651824966799011	0.602525545018214	0.691411411778552	0.546886078614708	0.638837256346607	0.723896003385472	0.701578212761125	0.512222721744889	0.592834316270333	0.66977576226774	0.679216735138104
