OTU_984	OTU_1217	OTU_1795	OTU_337	OTU_1	OTU_8
tub3.RS.3P.ITS1o.Y1	0.00243220235923629	0.00267542259515992	0.0111881308524869	0.00133771129757996	0.136324942235194	0.00231059224127447
tub2.Soil.N2.ITS1o.Y1	0.00173773559684534	0.00227242347279775	0.0141692287127389	0.00160406362785724	0.154658468119235	0.00240609544178586
tub3.RS.1S.ITS1o.Y1	0.00250104210087536	0.00194525496734751	0.00875364735306378	0.00180630818396554	0.122273169376129	0.00208420175072947
tub2.RS.N3.ITS1o.Y1	0.00185385447242391	0.00185385447242391	0.0108141510891395	0.00139039085431794	0.111849219836243	0.0021628302178279
tub3.RS.N3.ITS1o.Y1	0.0018450184501845	0.00322878228782288	0.0108394833948339	0.000922509225092251	0.15890221402214	0.00438191881918819
tub2.Soil.1P.ITS1o.Y1	0.00180616740088106	0.00162995594713656	0.00916299559471366	0.00118942731277533	0.132334801762115	0.00268722466960352
tub3.Soil.N3.ITS1o.Y1	0.00186987474092097	0.00182481751824818	0.00799765702442101	0.00153194557087501	0.12875101378751	0.0210191943768586
tub3.Soil.1P.ITS1o.Y1	0.00248280711005647	0.00250477885439325	0.00894249994507064	0.00169182431393228	0.146112099839606	0.00296618548546569
tub2.RS.4S.ITS1o.Y1	0.00206061646775994	0.0031767837211299	0.0137374431183996	0.00188889842877994	0.169142268395295	0.0031767837211299
tub3.Root.N2.ITS1o.Y1	0.0011125533098461	0.00278138327461524	0.00982755423697385	0.000556276654923048	0.129797886148711	0.00333765992953829
tub3.Soil.3P.ITS1o.Y1	0.00161858859074887	0.00269764765124811	0.00861448816631897	0.00151068268469894	0.12905546363571	0.00233796129774836
tub3.Soil.N2.ITS1o.Y1	0.00303003816682691	0.00276782332546689	0.0118579378259476	0.00157328904816013	0.182035369868601	0.028639687672989
tub3.Soil.2S.ITS1o.Y1	0.00423297013404405	0.00348828094379556	0.0197538606255389	0.00262600924982363	0.252880771341224	0.00462491181312221
tub3.Soil.3S.ITS1o.Y1	0.00185026649360692	0.001933114247052	0.0085057026870288	0.00160172323327166	0.128745408853663	0.00234735301427743
tub3.Soil.1S.ITS1o.Y1	0.00173931949124905	0.00173931949124905	0.00760952277421459	0.00184802695945211	0.127405152733993	0.00195673442765518
tub2.Root.4P.ITS1o.Y1	0.0016069936363052	0.00231407083627949	0.0112489554541364	0.00154271389085299	0.124252747959118	0.00257118981808832
tub2.Soil.4P.ITS1o.Y1	0.00182635571789829	0.00224782242202866	0.00976397864568699	0.000983422309637539	0.127353189098061	0.00217757797134026
tub3.Soil.4S.ITS1o.Y1	0.00215274218349564	0.0026652998462327	0.00861096873398257	0.00153767298821117	0.132444900051256	0.00287032291132752
tub3.Root.3P.ITS1o.Y1	0.00271591526344378	0.00353068984247691	0.00977729494839761	0.00162954915806627	0.123845736013036	0.00298750678978816
tub3.Soil.N1.ITS1o.Y1	0.00245848176207917	0.00243339521348653	0.00893081129898149	0.00165571220711455	0.143720836887261	0.0195675079022628
tub2.RS.N1.ITS1o.Y1	0.00168471720818291	0.00312876052948255	0.0137184115523466	0.00144404332129964	0.177376654632972	0.00529482551143201
tub2.Root.1P.ITS1o.Y1	0.00205941088367449	0.00212181727408887	0.00761357963055417	0.00137294058911633	0.110584123814279	0.00287069395906141
tub3.Soil.2P.ITS1o.Y1	0.00183216630990821	0.00168704422595508	0.00916083154954105	0.00121539745310743	0.130192649566448	0.0032108261074629
tub3.RS.4P.ITS1o.Y1	0.00213779030220581	0.00194344572927801	0.010786123797493	0.00116606743756681	0.122339908658051	0.00233213487513361
tub2.Soil.2S.ITS1o.Y1	0.00186992345000877	0.00192835855782154	0.0118623268859931	0.000876526617191609	0.131888038333431	0.00222053409688541
tub2.Root.N1.ITS1o.Y1	0.00179756045367002	0.00222555103787717	0.0118981382409587	0.00111277551893858	0.143291247592553	0.0037663171410229
tub3.RS.N2.ITS1o.Y1	0.00240122244051517	0.00218292949137743	0.0111329404060249	0.000873171796550971	0.149967256057629	0.0124426981008513
tub2.Soil.N1.ITS1o.Y1	0.00270239837856097	0.00292759824344105	0.00990879405472357	0.00112599932440041	0.127125323724806	0.00326539804076118
tub2.RP.4P.ITS1o.Y1	0	0	0	0	0.0151072124756335	0
tub2.RS.1P.ITS1o.Y1	0.00209643605870021	0.00332963374028857	0.0114687384387717	0.0017264767542237	0.169194721913923	0.00332963374028857
tub2.Soil.3S.ITS1o.Y1	0.00247615553925165	0.00220102714600147	0.0149486426999266	0.00192589875275128	0.168470286133529	0.00366837857666911
tub2.RS.3P.ITS1o.Y1	0.00141342756183746	0.00306242638398115	0.00706713780918728	0.000942285041224971	0.122497055359246	0.00282685512367491
